source	target	type	value
other-search	2019–20_coronavirus_pandemic	external	10653762
other-empty	2019–20_coronavirus_pandemic	external	9985625
Main_Page	2019–20_coronavirus_pandemic	link	3132537
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_the_United_States *	link	2006708
other-internal	2019–20_coronavirus_pandemic	external	1704299
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Italy *	link	1297838
Coronavirus_disease_2019	2019–20_coronavirus_pandemic	link	1203042
Coronavirus	2019–20_coronavirus_pandemic	link	759147
2019–20_coronavirus_pandemic	2019–20_coronavirus_pandemic_by_country_and_territory *	link	679592
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Spain *	link	624386
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Germany *	link	550413
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_the_United_Kingdom *	link	469164
2019–20_coronavirus_pandemic	2019–20_coronavirus_pandemic_in_mainland_China *	link	453397
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_India *	link	376995
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_France *	link	341264
2019–20_coronavirus_pandemic	Coronavirus_disease_2019 *	link	308027
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Canada *	link	292031
Severe_acute_respiratory_syndrome_coronavirus_2	2019–20_coronavirus_pandemic	link	263889
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_South_Korea *	link	258244
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Iran *	link	241872
2019–20_coronavirus_pandemic	Severe_acute_respiratory_syndrome_coronavirus_2 *	link	213718
other-external	2019–20_coronavirus_pandemic	external	195789
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Switzerland *	link	179540
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Australia *	link	170538
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_the_Netherlands *	link	150931
2019–20_coronavirus_pandemic	Pandemic *	link	146230
2019–20_coronavirus_pandemic	Misinformation_related_to_the_2019–20_coronavirus_pandemic *	link	141863
2019–20_coronavirus_pandemic	Huanan_Seafood_Wholesale_Market *	link	135108
Pandemic	2019–20_coronavirus_pandemic	link	132594
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Japan *	link	131557
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Poland *	link	130270
2020_coronavirus_pandemic_in_the_United_States	2019–20_coronavirus_pandemic	link	125656
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Sweden *	link	120444
List_of_epidemics	2019–20_coronavirus_pandemic	link	118600
2020_coronavirus_pandemic_in_Italy	2019–20_coronavirus_pandemic	link	112722
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_on_cruise_ships *	link	109280
2019–20_coronavirus_pandemic	Pangolin *	link	100528
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Turkey *	link	100472
2019–20_coronavirus_pandemic	Main_Page *	other	97652
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Russia *	link	96553
2020_coronavirus_pandemic_in_India	2019–20_coronavirus_pandemic	link	93879
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Austria *	link	89568
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Brazil *	link	88474
2019–20_coronavirus_pandemic_by_country_and_territory	2019–20_coronavirus_pandemic	link	88072
2019–20_coronavirus_pandemic	Timeline_of_the_2019–20_coronavirus_pandemic *	link	86645
2019–20_coronavirus_pandemic	List_of_incidents_of_xenophobia_and_racism_related_to_the_2019–20_coronavirus_pandemic *	link	84275
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_the_Czech_Republic *	link	83837
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Norway *	link	83044
2019–20_coronavirus_pandemic	Wuhan *	link	80345
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Belgium *	link	77777
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Romania *	link	74093
2019–20_coronavirus_pandemic	Panic_buying *	link	71210
Spanish_flu	2019–20_coronavirus_pandemic	link	70886
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Denmark *	link	70035
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Pakistan *	link	69084
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_the_Philippines *	link	64684
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Portugal *	link	63781
2019–20_coronavirus_pandemic	Sputum *	link	63131
Contagion_(2011_film)	2019–20_coronavirus_pandemic	link	61421
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Malaysia *	link	60561
Timeline_of_the_2019–20_coronavirus_pandemic	2019–20_coronavirus_pandemic	link	59502
2019–20_coronavirus_pandemic	Zoonosis *	link	59448
Severe_acute_respiratory_syndrome	2019–20_coronavirus_pandemic	link	56835
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Israel *	link	55940
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Greece *	link	55749
2019–20_coronavirus_pandemic	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic *	link	54044
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Singapore *	link	52800
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Indonesia *	link	50394
2020_coronavirus_pandemic_in_Germany	2019–20_coronavirus_pandemic	link	47658
WrestleMania_36	2019–20_coronavirus_pandemic	link	46701
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_South_Africa *	link	46573
2020_coronavirus_pandemic_in_Spain	2019–20_coronavirus_pandemic	link	45496
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_the_Republic_of_Ireland *	link	45200
2019–20_coronavirus_pandemic	List_of_epidemics *	link	40190
2019–20_coronavirus_pandemic	List_of_events_affected_by_the_2019–20_coronavirus_pandemic *	link	36785
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Mexico *	link	36523
2019–20_coronavirus_pandemic	Social_distancing *	link	35760
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Finland *	link	35750
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Europe *	link	35469
2019–20_coronavirus_pandemic	Coronavirus *	link	33910
2019–20_coronavirus_pandemic	Hyphen-minus	other	33262
2020_coronavirus_pandemic_in_the_United_Kingdom	2019–20_coronavirus_pandemic	link	33123
2019–20_coronavirus_pandemic	Horseshoe_bat *	other	32520
2019–20_coronavirus_pandemic	COVID-19_testing *	link	32405
2019–20_coronavirus_pandemic	Herd_immunity *	link	32393
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Iceland *	link	31873
2019–20_coronavirus_pandemic	Impact_of_the_2019–20_coronavirus_pandemic_on_education *	link	30857
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_New_Zealand *	link	30099
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Taiwan *	link	30039
2019–20_coronavirus_pandemic	National_responses_to_the_2019–20_coronavirus_pandemic *	link	28701
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Serbia *	link	28285
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Thailand *	link	28162
Wuhan	2019–20_coronavirus_pandemic	link	27821
2019–20_coronavirus_pandemic	2020_Hubei_lockdowns *	link	27587
2019–20_coronavirus_pandemic	Wet_market *	link	27572
2019–20_coronavirus_pandemic_in_mainland_China	2019–20_coronavirus_pandemic	link	27465
2019–20_coronavirus_pandemic	2020_Italy_coronavirus_lockdown *	link	27368
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Slovakia *	link	27314
2020	2019–20_coronavirus_pandemic	link	26916
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Ukraine *	link	26777
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Bulgaria *	link	26548
2020_coronavirus_pandemic_in_Europe	2019–20_coronavirus_pandemic	link	26215
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_San_Marino *	link	25243
2019–20_coronavirus_pandemic	Transmission_(medicine) *	link	25072
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Hong_Kong *	link	24666
No_Time_to_Die	2019–20_coronavirus_pandemic	link	24309
2019–20_coronavirus_pandemic	List_of_public_venues_and_institutions_closed_during_the_2019–20_coronavirus_pandemic *	link	24110
A_Quiet_Place_Part_II	2019–20_coronavirus_pandemic	link	23834
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Hungary *	link	23762
2020_coronavirus_pandemic_in_Australia	2019–20_coronavirus_pandemic	link	23329
2019–20_coronavirus_pandemic	World_Health_Organization *	link	23090
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Croatia *	link	23036
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Slovenia *	link	22950
2020_coronavirus_pandemic_in_Poland	2019–20_coronavirus_pandemic	link	22893
Coronavirus_disease	2019–20_coronavirus_pandemic	link	22870
Severe_acute_respiratory_syndrome-related_coronavirus	2019–20_coronavirus_pandemic	link	22428
Mulan_(2020_film)	2019–20_coronavirus_pandemic	link	22152
2019–20_coronavirus_pandemic	Acute_respiratory_distress_syndrome *	link	21815
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Saudi_Arabia *	link	21807
2002–2004_SARS_outbreak	2019–20_coronavirus_pandemic	link	21339
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Asia *	link	21144
2020_coronavirus_pandemic_in_France	2019–20_coronavirus_pandemic	link	21122
2020_coronavirus_pandemic_in_Canada	2019–20_coronavirus_pandemic	link	20936
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Luxembourg *	link	20897
2019–20_coronavirus_pandemic	Criticism_of_response_to_the_2019–20_coronavirus_pandemic *	link	20602
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Vatican_City *	link	20448
F9_(film)	2019–20_coronavirus_pandemic	link	20164
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Vietnam *	link	19785
2019–20_coronavirus_pandemic	Travel_restrictions_related_to_the_2019–20_coronavirus_pandemic *	link	19272
Black_Widow_(2020_film)	2019–20_coronavirus_pandemic	link	19023
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Estonia *	link	18684
2019–20_coronavirus_pandemic	2020_coronavirus_pandemic_in_Qatar *	link	18470
